"X","Y","DateTime","EpochTime"
"623.7861","1064.5721","2017-10-08 18:18:02.311","1507501082311"
"628.2278","1062.2738","2017-10-08 18:18:02.345","1507501082345"
"637.1468","1059.7822","2017-10-08 18:18:02.378","1507501082378"
"640.168","1059.1044","2017-10-08 18:18:02.411","1507501082411"
"0.0","0.0","2017-10-08 18:18:02.444","1507501082444"
"0.0","0.0","2017-10-08 18:18:02.478","1507501082478"
"0.0","0.0","2017-10-08 18:18:02.511","1507501082511"
"0.0","0.0","2017-10-08 18:18:02.544","1507501082544"
"640.1472","1058.8456","2017-10-08 18:18:02.578","1507501082578"
"877.3453","674.8599","2017-10-08 18:18:02.611","1507501082611"
"887.5571","673.539","2017-10-08 18:18:02.644","1507501082644"
"890.5792","647.9231","2017-10-08 18:18:02.678","1507501082678"
"892.384","643.4053","2017-10-08 18:18:02.711","1507501082711"
"893.5713","642.6399","2017-10-08 18:18:02.744","1507501082744"
"893.9626","637.4187","2017-10-08 18:18:02.777","1507501082777"
"894.6475","652.3389","2017-10-08 18:18:02.811","1507501082811"
"903.4632","660.0523","2017-10-08 18:18:02.844","1507501082844"
"903.261","656.3973","2017-10-08 18:18:02.877","1507501082877"
"907.4794","665.755","2017-10-08 18:18:02.911","1507501082911"
"906.2266","652.3684","2017-10-08 18:18:02.944","1507501082944"
"907.8401","652.4683","2017-10-08 18:18:02.978","1507501082978"
"908.8587","651.3005","2017-10-08 18:18:03.011","1507501083011"
"910.6155","654.5648","2017-10-08 18:18:03.044","1507501083044"
"911.7638","654.7881","2017-10-08 18:18:03.078","1507501083078"
"912.6637","654.3176","2017-10-08 18:18:03.111","1507501083111"
"913.3636","652.7957","2017-10-08 18:18:03.144","1507501083144"
"913.7677","649.0109","2017-10-08 18:18:03.178","1507501083178"
"914.347","647.9639","2017-10-08 18:18:03.211","1507501083211"
"914.8894","647.0513","2017-10-08 18:18:03.244","1507501083244"
"915.4668","646.0195","2017-10-08 18:18:03.277","1507501083277"
"916.0917","645.5302","2017-10-08 18:18:03.310","1507501083310"
"916.7021","644.8395","2017-10-08 18:18:03.344","1507501083344"
"917.3067","644.2422","2017-10-08 18:18:03.377","1507501083377"
"917.8909","643.5956","2017-10-08 18:18:03.410","1507501083410"
"918.4996","643.231","2017-10-08 18:18:03.444","1507501083444"
"919.1438","643.1952","2017-10-08 18:18:03.477","1507501083477"
"919.886","644.5871","2017-10-08 18:18:03.510","1507501083510"
"920.5131","644.041","2017-10-08 18:18:03.544","1507501083544"
"921.2127","644.2037","2017-10-08 18:18:03.577","1507501083577"
"921.9023","644.2955","2017-10-08 18:18:03.610","1507501083610"
"922.5969","644.1087","2017-10-08 18:18:03.643","1507501083643"
"923.5674","643.9984","2017-10-08 18:18:03.677","1507501083677"
"924.5205","642.5858","2017-10-08 18:18:03.710","1507501083710"
"925.3984","643.7269","2017-10-08 18:18:03.743","1507501083743"
"926.3774","644.2887","2017-10-08 18:18:03.777","1507501083777"
"927.0408","645.837","2017-10-08 18:18:03.810","1507501083810"
"927.5957","647.5261","2017-10-08 18:18:03.843","1507501083843"
"927.9425","648.9083","2017-10-08 18:18:03.877","1507501083877"
"927.993","647.3419","2017-10-08 18:18:03.910","1507501083910"
"928.0345","648.9175","2017-10-08 18:18:03.943","1507501083943"
"927.8478","649.3756","2017-10-08 18:18:03.977","1507501083977"
"927.6237","650.054","2017-10-08 18:18:04.010","1507501084010"
"926.1872","650.035","2017-10-08 18:18:04.043","1507501084043"
"1146.4889","607.186","2017-10-08 18:18:04.076","1507501084076"
"1147.3374","613.6644","2017-10-08 18:18:04.110","1507501084110"
"1148.6422","614.6378","2017-10-08 18:18:04.143","1507501084143"
"1151.3296","617.0699","2017-10-08 18:18:04.176","1507501084176"
"1151.3893","618.9521","2017-10-08 18:18:04.210","1507501084210"
"1151.2721","620.2012","2017-10-08 18:18:04.243","1507501084243"
"1148.4673","642.2026","2017-10-08 18:18:04.276","1507501084276"
"1144.6321","649.033","2017-10-08 18:18:04.310","1507501084310"
"1149.6824","656.7961","2017-10-08 18:18:04.343","1507501084343"
"1146.9259","650.5639","2017-10-08 18:18:04.376","1507501084376"
"1142.1602","643.0892","2017-10-08 18:18:04.409","1507501084409"
"1143.4871","647.1107","2017-10-08 18:18:04.443","1507501084443"
"1141.6252","647.0526","2017-10-08 18:18:04.476","1507501084476"
"924.3267","634.2","2017-10-08 18:18:04.509","1507501084509"
"922.8623","633.1151","2017-10-08 18:18:04.543","1507501084543"
"922.5807","626.1395","2017-10-08 18:18:04.576","1507501084576"
"922.1345","623.937","2017-10-08 18:18:04.609","1507501084609"
"922.6946","635.7983","2017-10-08 18:18:04.643","1507501084643"
"922.972","629.0175","2017-10-08 18:18:04.676","1507501084676"
"925.0236","645.5789","2017-10-08 18:18:04.709","1507501084709"
"921.6204","633.1378","2017-10-08 18:18:04.743","1507501084743"
"920.965","631.5474","2017-10-08 18:18:04.776","1507501084776"
"921.1125","641.9113","2017-10-08 18:18:04.809","1507501084809"
"921.5555","645.7963","2017-10-08 18:18:04.842","1507501084842"
"923.426","643.6476","2017-10-08 18:18:04.876","1507501084876"
"925.1329","642.079","2017-10-08 18:18:04.909","1507501084909"
"926.3853","642.5922","2017-10-08 18:18:04.942","1507501084942"
"927.5927","642.5528","2017-10-08 18:18:04.976","1507501084976"
"928.9118","641.7255","2017-10-08 18:18:05.009","1507501085009"
"929.9728","641.3875","2017-10-08 18:18:05.042","1507501085042"
"931.0643","640.4366","2017-10-08 18:18:05.076","1507501085076"
"932.021","639.9296","2017-10-08 18:18:05.109","1507501085109"
"932.9033","639.8247","2017-10-08 18:18:05.142","1507501085142"
"933.7343","639.52","2017-10-08 18:18:05.176","1507501085176"
"934.4278","640.0942","2017-10-08 18:18:05.209","1507501085209"
"934.8813","642.0222","2017-10-08 18:18:05.242","1507501085242"
"935.498","642.2667","2017-10-08 18:18:05.275","1507501085275"
"936.2652","640.5305","2017-10-08 18:18:05.309","1507501085309"
"936.5955","640.1439","2017-10-08 18:18:05.342","1507501085342"
"936.6135","640.3991","2017-10-08 18:18:05.375","1507501085375"
"936.7423","639.0176","2017-10-08 18:18:05.409","1507501085409"
"936.6766","637.7552","2017-10-08 18:18:05.442","1507501085442"
"936.4468","636.5298","2017-10-08 18:18:05.475","1507501085475"
"936.0923","635.4236","2017-10-08 18:18:05.509","1507501085509"
"935.2463","636.0972","2017-10-08 18:18:05.542","1507501085542"
"934.8268","635.2685","2017-10-08 18:18:05.575","1507501085575"
"933.7561","636.1746","2017-10-08 18:18:05.609","1507501085609"
"932.6086","636.2021","2017-10-08 18:18:05.642","1507501085642"
"931.7219","635.345","2017-10-08 18:18:05.675","1507501085675"
"928.6237","636.9579","2017-10-08 18:18:05.708","1507501085708"
"851.5266","1146.5513","2017-10-08 18:18:05.742","1507501085742"
"848.6491","1145.1421","2017-10-08 18:18:05.775","1507501085775"
"851.883","1144.4476","2017-10-08 18:18:05.808","1507501085808"
"835.5698","1146.3066","2017-10-08 18:18:05.842","1507501085842"
"841.4728","1144.5784","2017-10-08 18:18:05.875","1507501085875"
"841.4777","1143.9703","2017-10-08 18:18:05.908","1507501085908"
"831.3156","1089.7917","2017-10-08 18:18:05.942","1507501085942"
"835.588","1088.9794","2017-10-08 18:18:05.975","1507501085975"
"848.3124","1081.9371","2017-10-08 18:18:06.008","1507501086008"
"847.7874","1043.4443","2017-10-08 18:18:06.041","1507501086041"
"0.0","0.0","2017-10-08 18:18:06.075","1507501086075"
"856.6109","999.347","2017-10-08 18:18:06.108","1507501086108"
"858.9792","924.7546","2017-10-08 18:18:06.141","1507501086141"
"864.5521","586.2365","2017-10-08 18:18:06.175","1507501086175"
"872.1538","615.8879","2017-10-08 18:18:06.208","1507501086208"
"874.5654","617.4378","2017-10-08 18:18:06.241","1507501086241"
"875.2242","617.5978","2017-10-08 18:18:06.275","1507501086275"
"876.0508","616.9479","2017-10-08 18:18:06.308","1507501086308"
"877.0049","616.6033","2017-10-08 18:18:06.342","1507501086342"
"877.8958","616.5378","2017-10-08 18:18:06.375","1507501086375"
"878.782","616.8822","2017-10-08 18:18:06.408","1507501086408"
"879.6705","617.23","2017-10-08 18:18:06.442","1507501086442"
"880.288","617.3783","2017-10-08 18:18:06.475","1507501086475"
"880.7435","617.8661","2017-10-08 18:18:06.508","1507501086508"
"881.2365","618.2309","2017-10-08 18:18:06.541","1507501086541"
"881.5526","619.1592","2017-10-08 18:18:06.575","1507501086575"
"882.0001","619.5353","2017-10-08 18:18:06.608","1507501086608"
"882.4835","619.8585","2017-10-08 18:18:06.641","1507501086641"
"882.5023","621.0161","2017-10-08 18:18:06.675","1507501086675"
"882.8753","620.3039","2017-10-08 18:18:06.708","1507501086708"
"882.2491","618.519","2017-10-08 18:18:06.741","1507501086741"
"877.0646","613.4692","2017-10-08 18:18:06.774","1507501086774"
"876.4312","611.2538","2017-10-08 18:18:06.807","1507501086807"
"874.9766","609.7262","2017-10-08 18:18:06.841","1507501086841"
"873.2841","607.9741","2017-10-08 18:18:06.874","1507501086874"
"871.4","606.0413","2017-10-08 18:18:06.907","1507501086907"
"869.5265","603.5895","2017-10-08 18:18:06.941","1507501086941"
"867.6251","600.713","2017-10-08 18:18:06.974","1507501086974"
"865.328","597.9404","2017-10-08 18:18:07.007","1507501087007"
"863.3762","594.198","2017-10-08 18:18:07.041","1507501087041"
"858.1831","588.5701","2017-10-08 18:18:07.074","1507501087074"
"559.8875","676.3666","2017-10-08 18:18:07.107","1507501087107"
"557.441","672.1632","2017-10-08 18:18:07.140","1507501087140"
"558.9686","659.7665","2017-10-08 18:18:07.174","1507501087174"
"557.6058","663.083","2017-10-08 18:18:07.207","1507501087207"
"556.6464","664.1498","2017-10-08 18:18:07.240","1507501087240"
"555.9833","663.4018","2017-10-08 18:18:07.274","1507501087274"
"662.7296","317.6454","2017-10-08 18:18:07.308","1507501087308"
"681.8916","219.232","2017-10-08 18:18:07.340","1507501087340"
"688.5769","200.432","2017-10-08 18:18:07.374","1507501087374"
"689.2502","194.7946","2017-10-08 18:18:07.407","1507501087407"
"690.7325","188.0272","2017-10-08 18:18:07.440","1507501087440"
"695.5142","172.4341","2017-10-08 18:18:07.474","1507501087474"
"969.8167","119.2323","2017-10-08 18:18:07.507","1507501087507"
"968.6092","111.7902","2017-10-08 18:18:07.540","1507501087540"
"961.5959","118.621","2017-10-08 18:18:07.574","1507501087574"
"959.8597","118.8354","2017-10-08 18:18:07.607","1507501087607"
"963.8773","113.0454","2017-10-08 18:18:07.640","1507501087640"
"963.3124","111.7923","2017-10-08 18:18:07.673","1507501087673"
"957.7245","131.5468","2017-10-08 18:18:07.707","1507501087707"
"962.0552","121.1204","2017-10-08 18:18:07.740","1507501087740"
"957.5457","131.5553","2017-10-08 18:18:07.773","1507501087773"
"961.007","128.5417","2017-10-08 18:18:07.807","1507501087807"
"965.5925","122.5995","2017-10-08 18:18:07.840","1507501087840"
"963.7917","129.9586","2017-10-08 18:18:07.873","1507501087873"
"963.8578","133.0794","2017-10-08 18:18:07.907","1507501087907"
"959.2115","144.297","2017-10-08 18:18:07.940","1507501087940"
"703.8877","371.4018","2017-10-08 18:18:07.973","1507501087973"
"663.9864","357.1313","2017-10-08 18:18:08.007","1507501088007"
"673.0938","359.8831","2017-10-08 18:18:08.040","1507501088040"
"675.4547","360.1569","2017-10-08 18:18:08.073","1507501088073"
"673.0349","358.9465","2017-10-08 18:18:08.106","1507501088106"
"667.0286","355.9148","2017-10-08 18:18:08.140","1507501088140"
"713.9132","349.6772","2017-10-08 18:18:08.173","1507501088173"
"684.54","356.4471","2017-10-08 18:18:08.206","1507501088206"
"682.4705","356.6598","2017-10-08 18:18:08.240","1507501088240"
"720.9297","363.0041","2017-10-08 18:18:08.273","1507501088273"
"763.6959","371.33","2017-10-08 18:18:08.306","1507501088306"
"800.6558","379.0269","2017-10-08 18:18:08.340","1507501088340"
"1125.217","434.2806","2017-10-08 18:18:08.373","1507501088373"
"1142.7657","468.8479","2017-10-08 18:18:08.406","1507501088406"
"1136.4598","461.2532","2017-10-08 18:18:08.439","1507501088439"
"1135.9683","459.6579","2017-10-08 18:18:08.473","1507501088473"
"1134.052","458.3036","2017-10-08 18:18:08.506","1507501088506"
"1133.7317","458.662","2017-10-08 18:18:08.540","1507501088540"
"1128.5836","458.1036","2017-10-08 18:18:08.573","1507501088573"
"1126.3149","454.5951","2017-10-08 18:18:08.606","1507501088606"
"1125.8812","461.2283","2017-10-08 18:18:08.639","1507501088639"
"1103.595","557.4295","2017-10-08 18:18:08.673","1507501088673"
"1093.1809","602.7217","2017-10-08 18:18:08.706","1507501088706"
